normalized_description,borough,confidence,confirmation_note
ASSER LEVY PLACE,Manhattan,high,"Distinctive Manhattan street, intersection, or landmark."
AUBURN PL,Brooklyn,medium,Auburn Place most likely refers to Downtown Brooklyn/Fort Greene.
AUSTIN ST,Queens,high,"Distinctive Queens street-number pattern, street, station, or airport terminal."
AVE M,Brooklyn,high,"Distinctive Brooklyn street, intersection, or landmark."
AVE O,Brooklyn,high,"Distinctive Brooklyn street, intersection, or landmark."
AVE S,Brooklyn,high,"Distinctive Brooklyn street, intersection, or landmark."
B 114,Queens,high,"Distinctive Queens street-number pattern, street, station, or airport terminal."
BAILEY,Bronx,high,"Distinctive Bronx street, intersection, or landmark."
BAINBRIDGE,Bronx,high,"Distinctive Bronx street, intersection, or landmark."
BARNES AVE,Bronx,high,"Distinctive Bronx street, intersection, or landmark."
BEDFORD,Brooklyn,medium,Most likely Bedford Avenue in Brooklyn; 'Bedford' alone is incomplete.
BEEKMAN,Manhattan,medium,Most likely Beekman Street in Manhattan; the description is incomplete.
BLECKER,Manhattan,medium,Most likely Bleecker Street in Manhattan; the description is incomplete.
BRADFORD AVE,Bronx,high,"Distinctive Bronx street, intersection, or landmark."
BRAISTED AVE,Staten Island,high,Distinctive Staten Island street.
BRIGHTON 15 ST,Brooklyn,high,"Distinctive Brooklyn street, intersection, or landmark."
C/O BERRIMAN,Brooklyn,high,"Distinctive Brooklyn street, intersection, or landmark."
C/O W 135TH ST,Manhattan,high,"Distinctive Manhattan street, intersection, or landmark."
CENTER ST,Manhattan,medium,"Likely Centre/Center Street in Manhattan, but spelling and cross street are missing."
CENTRAL PARK W,Manhattan,high,"Distinctive Manhattan street, intersection, or landmark."
CENTRAL PK W,Manhattan,high,"Distinctive Manhattan street, intersection, or landmark."
CHARLES ST,Manhattan,high,"Distinctive Manhattan street, intersection, or landmark."
CHRYSTIE,Manhattan,high,"Distinctive Manhattan street, intersection, or landmark."
COLUMBIA PL,Brooklyn,high,"Distinctive Brooklyn street, intersection, or landmark."
COLUMBIA STREET,Brooklyn,high,"Distinctive Brooklyn street, intersection, or landmark."
CORTELYOU PL,Brooklyn,medium,Likely Cortelyou Place/Road area in Brooklyn; street suffix is incomplete.
CORTELYOU RD,Brooklyn,high,"Distinctive Brooklyn street, intersection, or landmark."
CROSBY AVE,Bronx,high,"Distinctive Bronx street, intersection, or landmark."
CROSS ISLAND PLAZA,Queens,high,"Distinctive Queens street-number pattern, street, station, or airport terminal."
DONGAN PL,Manhattan,high,"Distinctive Manhattan street, intersection, or landmark."
DRIGGS AVE,Brooklyn,high,"Distinctive Brooklyn street, intersection, or landmark."
DUFFIELD ST,Brooklyn,high,"Distinctive Brooklyn street, intersection, or landmark."
DYCKMAN ST,Manhattan,high,"Distinctive Manhattan street, intersection, or landmark."
DYCKMAN STREET,Manhattan,high,"Distinctive Manhattan street, intersection, or landmark."
E 102,Manhattan,high,"Distinctive Manhattan street, intersection, or landmark."
E 103 ST,Manhattan,high,"Distinctive Manhattan street, intersection, or landmark."
E 122 ST,Manhattan,high,"Distinctive Manhattan street, intersection, or landmark."
E 138 ST,Bronx,high,"Distinctive Bronx street, intersection, or landmark."
E 180 ST,Bronx,high,"Distinctive Bronx street, intersection, or landmark."
E 3RD AVE,Brooklyn,low,"Likely a Brooklyn numbered avenue entry, but 'E 3RD AVE' is not a standard complete NYC street description."
E 89 ST,Manhattan,high,"Distinctive Manhattan street, intersection, or landmark."
EAGLE,Brooklyn,high,"Distinctive Brooklyn street, intersection, or landmark."
EAST 90,Manhattan,high,"Distinctive Manhattan street, intersection, or landmark."
EAST IRVING PLACE,Manhattan,high,"Distinctive Manhattan street, intersection, or landmark."
EB BRONX AND PELHAM,Bronx,high,"Distinctive Bronx street, intersection, or landmark."
EB E 149TH ST @ BROO,Bronx,high,"Distinctive Bronx street, intersection, or landmark."
EB E 149TH ST @ EAGL,Bronx,high,"Distinctive Bronx street, intersection, or landmark."
EB E 149TH ST @ THIR,Bronx,high,"Distinctive Bronx street, intersection, or landmark."
EB LAFAYETTE AVE @ W,Bronx,medium,Likely Lafayette Ave at White Plains Rd; the truncated cross street prevents full confirmation.
EB W 178TH ST @ FORT,Manhattan,high,"Distinctive Manhattan street, intersection, or landmark."
FDR DRIVE,Manhattan,high,"Distinctive Manhattan street, intersection, or landmark."
FORCE TUBE AVE,Brooklyn,high,"Distinctive Brooklyn street, intersection, or landmark."
FOREST LANE,Queens,low,"Forest Lane exists in Queens, but the name is not unique enough without a cross street."
FORT GEORGE,Manhattan,high,"Distinctive Manhattan street, intersection, or landmark."
FREEDOM PLACE SOUTH,Manhattan,high,"Distinctive Manhattan street, intersection, or landmark."
GRAND CONCOURSE,Bronx,high,"Distinctive Bronx street, intersection, or landmark."
GREEN AVENUE,Brooklyn,low,Likely a misspelling or truncation of Greene Avenue in Brooklyn.
GREEN LEAF AVE,Staten Island,high,Distinctive Staten Island street.
HARRISON PL,Brooklyn,high,"Distinctive Brooklyn street, intersection, or landmark."
HIGHLAND BLVD,Brooklyn,high,"Distinctive Brooklyn street, intersection, or landmark."
HIMROD ST,Brooklyn,high,"Distinctive Brooklyn street, intersection, or landmark."
HUDSON BLVD EAST,Manhattan,high,"Distinctive Manhattan street, intersection, or landmark."
HUDSON ST,Manhattan,high,"Distinctive Manhattan street, intersection, or landmark."
I/O W 16TH ST,Manhattan,high,"Distinctive Manhattan street, intersection, or landmark."
ISHAM,Manhattan,high,"Distinctive Manhattan street, intersection, or landmark."
JAMAICA,Queens,high,"Distinctive Queens street-number pattern, street, station, or airport terminal."
JAMAICA STATION,Queens,high,"Distinctive Queens street-number pattern, street, station, or airport terminal."
JEROME AVE,Bronx,high,"Distinctive Bronx street, intersection, or landmark."
JERSEY STREET,Staten Island,high,Distinctive Staten Island street.
LENOX,Manhattan,high,"Distinctive Manhattan street, intersection, or landmark."
LENOX AVE,Manhattan,high,"Distinctive Manhattan street, intersection, or landmark."
LEWIS AVENUE,Brooklyn,high,"Distinctive Brooklyn street, intersection, or landmark."
LEXINGTON COURTS,Queens,low,Likely a Queens residential complex/street name; the description is incomplete.
LINDEN ST,Brooklyn,high,"Distinctive Brooklyn street, intersection, or landmark."
LITTLE W 12 ST,Manhattan,high,"Distinctive Manhattan street, intersection, or landmark."
LOCUST,Bronx,low,"Likely Locust Avenue in the Bronx, but 'Locust' alone is not unique."
MARCUS GARVEY,Brooklyn,medium,Most likely Marcus Garvey Boulevard in Brooklyn; Manhattan has Marcus Garvey Park.
MELROSE AVE,Bronx,high,"Distinctive Bronx street, intersection, or landmark."
MERRICK BLVD,Queens,high,"Distinctive Queens street-number pattern, street, station, or airport terminal."
METROPOLITAN OVAL,Bronx,high,"Distinctive Bronx street, intersection, or landmark."
MOTHER GASTON AVE,Brooklyn,high,Mother Gaston Boulevard/Avenue is in Brooklyn.
NAGLE AVE,Manhattan,high,"Distinctive Manhattan street, intersection, or landmark."
NB MALL BLVD @ BAYCH,Bronx,high,"Distinctive Bronx street, intersection, or landmark."
NB MELROSE AVE @ E 1,Bronx,high,"Distinctive Bronx street, intersection, or landmark."
NB THIRD AVE @ E 149,Bronx,high,"Distinctive Bronx street, intersection, or landmark."
NB THIRD AVE @ E 152,Bronx,high,"Distinctive Bronx street, intersection, or landmark."
NB THIRD AVE @ WESTC,Bronx,high,"Distinctive Bronx street, intersection, or landmark."
NB THIRD AVE @ WILLI,Bronx,high,"Distinctive Bronx street, intersection, or landmark."
NB UNIVERSITY AVE @,Bronx,high,"Distinctive Bronx street, intersection, or landmark."
NB WEBSTER AVE @ BEL,Bronx,high,"Distinctive Bronx street, intersection, or landmark."
NB WEBSTER AVE @ BOT,Bronx,high,"Distinctive Bronx street, intersection, or landmark."
NB WEBSTER AVE @ E 1,Bronx,high,"Distinctive Bronx street, intersection, or landmark."
NB WEBSTER AVE @ E M,Bronx,high,"Distinctive Bronx street, intersection, or landmark."
NB WEBSTER AVE @ E T,Bronx,high,"Distinctive Bronx street, intersection, or landmark."
NB WHITE PLAINS RD @,Bronx,high,"Distinctive Bronx street, intersection, or landmark."
NEWKIRK,Brooklyn,high,"Distinctive Brooklyn street, intersection, or landmark."
NORTH EAST 165 ST,Queens,low,Likely 165th Street in Queens; the wording 'North East 165 ST' is malformed.
NORTHERN BLVD,Queens,high,"Distinctive Queens street-number pattern, street, station, or airport terminal."
OCEAN PK,Brooklyn,high,"Distinctive Brooklyn street, intersection, or landmark."
OCEANVIEW AVE,Brooklyn,high,"Distinctive Brooklyn street, intersection, or landmark."
ORCHARD BEACH,Bronx,high,"Distinctive Bronx street, intersection, or landmark."
ORCHARD BEACH PARKIN,Bronx,high,"Distinctive Bronx street, intersection, or landmark."
PEARSON PL,Queens,low,Likely Pearson Street/Place in Queens; the description may contain a street-type error.
POYER,Bronx,high,"Distinctive Bronx street, intersection, or landmark."
PULASKI ST,Brooklyn,high,"Distinctive Brooklyn street, intersection, or landmark."
PUTHAM,Brooklyn,high,"Distinctive Brooklyn street, intersection, or landmark."
RANDALLS ISLAND,Manhattan,high,"Distinctive Manhattan street, intersection, or landmark."
RIVERTON ST,Queens,high,"Distinctive Queens street-number pattern, street, station, or airport terminal."
S/O 557 E 31,Brooklyn,high,"Distinctive Brooklyn street, intersection, or landmark."
S/O E 161 ST,Bronx,high,"Distinctive Bronx street, intersection, or landmark."
SB AMENDOLA PL @ WES,Bronx,high,"Distinctive Bronx street, intersection, or landmark."
SB BURR AVE @ PELHAM,Bronx,high,"Distinctive Bronx street, intersection, or landmark."
SB EDSON AVE @ BARTO,Bronx,high,"Distinctive Bronx street, intersection, or landmark."
SB FRANKLIN AVE @ E,Bronx,high,"Distinctive Bronx street, intersection, or landmark."
SB MELROSE AVE @ E 1,Bronx,high,"Distinctive Bronx street, intersection, or landmark."
SB UNIVERSITY AVE @,Bronx,high,"Distinctive Bronx street, intersection, or landmark."
SB WADSWORTH AVE @ W,Manhattan,high,"Distinctive Manhattan street, intersection, or landmark."
SB WEBSTER AVE @ BEL,Bronx,high,"Distinctive Bronx street, intersection, or landmark."
SB WEBSTER AVE @ E 1,Bronx,high,"Distinctive Bronx street, intersection, or landmark."
SB WEBSTER AVE @ E F,Bronx,high,"Distinctive Bronx street, intersection, or landmark."
SB WEBSTER AVE @ E G,Bronx,high,"Distinctive Bronx street, intersection, or landmark."
SB WEBSTER AVE @ E M,Bronx,high,"Distinctive Bronx street, intersection, or landmark."
SB WEBSTER AVE @ E T,Bronx,high,"Distinctive Bronx street, intersection, or landmark."
SB WEBSTER AVE @ FOR,Bronx,high,"Distinctive Bronx street, intersection, or landmark."
SB WHITE PLAINS RD @,Bronx,high,"Distinctive Bronx street, intersection, or landmark."
SHERMAN AVE,Manhattan,medium,Sherman Avenue most likely refers to the Inwood street; no cross street is provided.
SHORE FT PKWY,Brooklyn,high,"Distinctive Brooklyn street, intersection, or landmark."
SOUNDVIEW AVE,Bronx,high,"Distinctive Bronx street, intersection, or landmark."
ST OVEN,Queens,low,Unclear transcription; provisionally Queens based on surrounding source patterns.
STEINWAY,Queens,high,"Distinctive Queens street-number pattern, street, station, or airport terminal."
STEINWAY ST,Queens,high,"Distinctive Queens street-number pattern, street, station, or airport terminal."
STERLING AVE,Bronx,low,Likely Sterling Avenue in the Bronx; Brooklyn's similarly named roadway is Sterling Place.
STOCKHOLM AVE,Brooklyn,low,"Likely Stockholm Street in Brooklyn; the source says 'Ave,' suggesting a street-type error."
SURF AVE,Brooklyn,high,"Distinctive Brooklyn street, intersection, or landmark."
TERMINAL 4 ARRIVALS,Queens,high,"Distinctive Queens street-number pattern, street, station, or airport terminal."
TERMINAL B,Queens,high,"Distinctive Queens street-number pattern, street, station, or airport terminal."
UNIVERSITY AVE,Bronx,high,"Distinctive Bronx street, intersection, or landmark."
W 116,Manhattan,high,"Distinctive Manhattan street, intersection, or landmark."
W 116 ST,Manhattan,high,"Distinctive Manhattan street, intersection, or landmark."
W 12 AVE,Manhattan,high,"Distinctive Manhattan street, intersection, or landmark."
W 123 ST,Manhattan,high,"Distinctive Manhattan street, intersection, or landmark."
W 148 ST,Manhattan,high,"Distinctive Manhattan street, intersection, or landmark."
W 185,Manhattan,high,"Distinctive Manhattan street, intersection, or landmark."
W 230 STREET,Bronx,high,"Distinctive Bronx street, intersection, or landmark."
W 230TH STREET,Bronx,high,"Distinctive Bronx street, intersection, or landmark."
W 3RD,Manhattan,high,"Distinctive Manhattan street, intersection, or landmark."
W 48 ST,Manhattan,high,"Distinctive Manhattan street, intersection, or landmark."
W 54,Manhattan,high,"Distinctive Manhattan street, intersection, or landmark."
W 54 ST,Manhattan,high,"Distinctive Manhattan street, intersection, or landmark."
W 55,Manhattan,high,"Distinctive Manhattan street, intersection, or landmark."
W 55 ST,Manhattan,high,"Distinctive Manhattan street, intersection, or landmark."
W 58 ST,Manhattan,high,"Distinctive Manhattan street, intersection, or landmark."
W 59 ST,Manhattan,high,"Distinctive Manhattan street, intersection, or landmark."
W 8 ST,Manhattan,high,"Distinctive Manhattan street, intersection, or landmark."
W 88 ST,Manhattan,high,"Distinctive Manhattan street, intersection, or landmark."
W 88TH ST,Manhattan,high,"Distinctive Manhattan street, intersection, or landmark."
W 89 ST,Manhattan,high,"Distinctive Manhattan street, intersection, or landmark."
WAVE ST,Staten Island,high,Distinctive Staten Island street.
WB BAY PLAZA BLVD @,Bronx,high,"Distinctive Bronx street, intersection, or landmark."
WB BRONX AND PELHAM,Bronx,high,"Distinctive Bronx street, intersection, or landmark."
WB E 149TH ST @ BROO,Bronx,high,"Distinctive Bronx street, intersection, or landmark."
WB E 149TH ST @ EAGL,Bronx,high,"Distinctive Bronx street, intersection, or landmark."
WB LAFAYETTE AVE @ P,Brooklyn,high,User confirmed cross street P means Patchen Avenue.
WB RIVERBANK PARK AC,Manhattan,high,"Distinctive Manhattan street, intersection, or landmark."
WEST 207 STREET,Manhattan,high,"Distinctive Manhattan street, intersection, or landmark."
WEST 29 ST,Manhattan,high,"Distinctive Manhattan street, intersection, or landmark."
WEST 55 ST,Manhattan,high,"Distinctive Manhattan street, intersection, or landmark."
WHITE PLAINS RD,Bronx,high,"Distinctive Bronx street, intersection, or landmark."
WILSON AVE,Brooklyn,high,"Distinctive Brooklyn street, intersection, or landmark."
WILSON AVENUE,Brooklyn,high,"Distinctive Brooklyn street, intersection, or landmark."
WINTHROP,Brooklyn,high,"Distinctive Brooklyn street, intersection, or landmark."
WISON AVE,Brooklyn,high,"Distinctive Brooklyn street, intersection, or landmark."
